# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 260         5.180       52.100      1.90        De Bilt     
# 279         6.574       52.750      15.80       Hoogeveen   
# TG        : Etmaalgemiddelde temperatuur (in 0.1 graden Celsius) / Daily mean temperature in (0.1 degrees Celsius)
# TN        : Minimum temperatuur (in 0.1 graden Celsius) / Minimum temperature (in 0.1 degrees Celsius)
# TX        : Maximum temperatuur (in 0.1 graden Celsius) / Maximum temperature (in 0.1 degrees Celsius)
# STN,YYYYMMDD,   TG,   TN,   TX
  260,20200603,  175,  130,  228
  260,20200604,  128,   83,  170
  260,20200605,   99,   75,  143
  260,20200606,  116,   83,  158
  260,20200607,  127,   99,  160
  260,20200608,  146,  114,  189
  260,20200609,  133,   87,  170
  260,20200610,  139,   62,  180
  260,20200611,  157,  131,  201
  260,20200612,  195,  144,  261
  260,20200613,  202,  153,  262
  260,20200614,  183,  153,  230
  260,20200615,  191,  152,  237
  260,20200616,  179,  144,  208
  260,20200617,  190,  125,  242
  260,20200618,  176,  131,  220
  260,20200619,  172,  110,  224
  260,20200620,  167,  111,  221
  260,20200621,  186,  106,  245
  260,20200622,  178,  110,  224
  260,20200623,  197,   94,  267
  260,20200624,  233,  147,  294
  260,20200625,  240,  170,  294
  260,20200626,  242,  190,  301
  260,20200627,  206,  175,  248
  260,20200628,  179,  152,  214
  260,20200629,  160,  133,  190
  260,20200630,  160,  141,  194
  260,20200701,  179,  158,  211
  260,20200702,  171,  148,  212
  260,20200703,  177,  141,  216
  260,20200704,  165,  136,  181
  260,20200705,  179,  153,  213
  260,20200706,  149,  101,  183
  260,20200707,  146,   80,  192
  260,20200708,  146,  129,  169
  260,20200709,  167,  147,  177
  260,20200710,  146,   82,  185
  260,20200711,  141,   66,  197
  260,20200712,  149,   67,  209
  260,20200713,  172,   76,  235
  260,20200714,  157,  116,  176
  260,20200715,  159,   85,  206
  260,20200716,  163,  141,  197
  260,20200717,  183,  139,  227
  260,20200718,  194,  121,  258
  260,20200719,  179,  123,  244
  260,20200720,  161,  104,  202
  260,20200721,  145,   75,  205
  260,20200722,  145,   73,  211
  260,20200723,  184,   93,  246
  260,20200724,  185,  145,  223
  260,20200725,  184,  139,  223
  260,20200726,  187,  139,  224
  260,20200727,  184,  134,  239
  260,20200728,  179,  159,  206
  260,20200729,  162,  107,  202
  260,20200730,  183,   91,  251
  260,20200731,  245,  122,  320
  260,20200801,  206,  131,  252
  260,20200802,  168,  100,  216
  260,20200803,  154,   92,  212
  260,20200804,  164,   82,  221
  260,20200805,  206,  140,  283
  260,20200806,  223,  116,  310
  260,20200807,  247,  145,  340
  260,20200808,  264,  146,  346
  260,20200809,  267,  215,  326
  260,20200810,  261,  188,  327
  260,20200811,  270,  213,  345
  260,20200812,  263,  204,  323
  260,20200813,  251,  191,  317
  260,20200814,  233,  184,  286
  260,20200815,  225,  186,  285
  260,20200816,  225,  165,  304
  260,20200817,  189,  154,  254
  260,20200818,  183,  132,  240
  260,20200819,  213,  130,  272
  260,20200820,  232,  189,  280
  260,20200821,  239,  181,  285
  260,20200822,  192,  167,  224
  260,20200823,  176,  150,  213
  260,20200824,  165,  114,  207
  260,20200825,  170,  124,  212
  260,20200826,  161,  130,  184
  260,20200827,  160,  116,  198
  260,20200828,  161,  127,  210
  260,20200829,  149,  121,  188
  260,20200830,  153,  110,  186
  260,20200831,  145,   92,  183
  260,20200901,  135,   90,  176
  260,20200902,  148,   79,  217
  260,20200903,  163,  107,  207
  260,20200904,  173,  138,  210
  260,20200905,  148,  104,  188
  260,20200906,  142,   90,  193
  260,20200907,  155,   80,  210
  260,20200908,  173,  151,  190
  260,20200909,  168,   86,  209
  260,20200910,  132,   70,  198
  260,20200911,  137,   87,  200
  260,20200912,  142,   86,  191
  260,20200913,  164,  109,  225
  260,20200914,  186,   95,  285
  260,20200915,  212,  123,  314
  260,20200916,  184,  133,  235
  260,20200917,  135,   79,  190
  260,20200918,  145,   74,  213
  260,20200919,  154,   73,  233
  260,20200920,  149,   75,  228
  260,20200921,  149,   77,  253
  260,20200922,  141,   52,  236
  260,20200923,  162,   95,  218
  260,20200924,  137,  115,  175
  260,20200925,  109,   88,  135
  260,20200926,  128,   91,  162
  260,20200927,  142,  129,  163
  260,20200928,  128,  121,  137
  260,20200929,  151,  121,  193
  260,20200930,  153,  120,  184
  260,20201001,  131,   90,  156
  260,20201002,  129,   80,  160
  260,20201003,  126,   99,  147
  260,20201004,  119,  105,  148
  260,20201005,  122,  102,  144
  260,20201006,  128,  112,  148
  260,20201007,  124,  107,  150
  260,20201008,  131,  108,  159
  260,20201009,  118,   82,  153
  260,20201010,   87,   51,  129
  260,20201011,   94,   51,  137
  260,20201012,   94,   43,  145
  260,20201013,   96,   66,  128
  260,20201014,   92,   60,  123
  260,20201015,   94,   59,  115
  260,20201016,   83,   46,  122
  260,20201017,   71,   20,  125
  260,20201018,   88,   20,  134
  260,20201019,   94,   70,  132
  260,20201020,  117,   78,  144
  260,20201021,  154,  125,  203
  260,20201022,  139,  107,  161
  260,20201023,  120,   62,  159
  260,20201024,  139,  117,  162
  260,20201025,  121,  100,  159
  260,20201026,  104,   86,  127
  260,20201027,  101,   75,  120
  260,20201028,  100,   83,  130
  260,20201029,  107,   78,  137
  260,20201030,  143,  133,  157
  260,20201031,  135,  109,  155
  260,20201101,  143,  105,  176
  260,20201102,  158,  106,  193
  260,20201103,   92,   66,  129
  260,20201104,   67,    9,  128
  260,20201105,   64,    6,  128
  260,20201106,   84,   46,  124
  260,20201107,   68,   35,  126
  260,20201108,   84,   18,  132
  260,20201109,  121,   85,  169
  260,20201110,  124,   88,  164
  260,20201111,  114,  102,  130
  260,20201112,  102,   66,  132
  260,20201113,   95,   49,  129
  260,20201114,  124,   83,  147
  260,20201115,  127,   98,  156
  260,20201116,  102,   89,  123
  260,20201117,  120,  106,  129
  260,20201118,  128,  109,  149
  260,20201119,   82,   37,  117
  260,20201120,   60,   35,   85
  260,20201121,   87,   55,  102
  260,20201122,   89,   51,  116
  260,20201123,   61,   11,  106
  260,20201124,   79,   51,  102
  260,20201125,   67,   37,   92
  260,20201126,   88,   74,   98
  260,20201127,   63,   35,   75
  260,20201128,   42,   33,   56
  260,20201129,    9,  -36,   37
  260,20201130,   24,  -42,   84
  260,20201201,   81,   64,   98
  260,20201202,   58,   52,   64
  260,20201203,   55,   46,   62
  260,20201204,   50,   -8,   80
  260,20201205,   13,  -30,   56
  260,20201206,   18,  -18,   42
  260,20201207,   42,   19,   55
  260,20201208,   18,  -16,   48
  260,20201209,    8,  -15,   31
  260,20201210,    6,   -5,   29
  260,20201211,   26,   -3,   44
  260,20201212,   65,   42,   89
  260,20201213,   69,   57,   79
  260,20201214,   96,   65,  116
  260,20201215,   87,   50,  104
  260,20201216,   72,   46,   97
  260,20201217,   89,   64,  103
  260,20201218,   79,   56,  110
  260,20201219,   83,   51,  115
  260,20201220,   86,   69,   99
  260,20201221,   79,   43,  131
  260,20201222,  106,   86,  131
  260,20201223,  109,   86,  123
  260,20201224,   54,   32,   91
  260,20201225,   32,  -11,   66
  260,20201226,   45,   25,   59
  260,20201227,   50,   32,   59
  260,20201228,   36,   13,   54
  260,20201229,   37,   25,   58
  260,20201230,   42,   24,   68
  260,20201231,   21,  -21,   40
  279,20200101,    2,   -7,   18
  279,20200102,   18,   -8,   60
  279,20200103,   67,   33,   91
  279,20200104,   53,   18,   81
  279,20200105,   54,   12,   70
  279,20200106,   49,   20,   64
  279,20200107,   65,   42,   81
  279,20200108,   96,   75,  115
  279,20200109,  110,   88,  120
  279,20200110,   64,   16,  115
  279,20200111,   45,    3,   67
  279,20200112,   61,   26,   92
  279,20200113,   67,   26,   94
  279,20200114,   98,   86,  121
  279,20200115,   92,   45,  119
  279,20200116,   65,   34,   94
  279,20200117,   78,   44,   97
  279,20200118,   38,   15,   67
  279,20200119,   37,   11,   79
  279,20200120,   36,    7,   72
  279,20200121,   31,    2,   63
  279,20200122,   49,   24,   85
  279,20200123,   22,    8,   43
  279,20200124,   19,    8,   36
  279,20200125,   18,    8,   26
  279,20200126,   39,    2,   71
  279,20200127,   75,   64,   89
  279,20200128,   47,   25,   74
  279,20200129,   49,   33,   72
  279,20200130,   82,   55,  109
  279,20200131,  104,   84,  124
  279,20200201,  102,   86,  114
  279,20200202,   74,   65,   89
  279,20200203,   85,   58,   99
  279,20200204,   48,   30,   73
  279,20200205,   30,  -14,   74
  279,20200206,   47,    5,   72
  279,20200207,   45,   17,   75
  279,20200208,   61,   17,   95
  279,20200209,   95,   75,  116
  279,20200210,   64,    8,  107
  279,20200211,   48,   25,   59
  279,20200212,   44,   19,   64
  279,20200213,   42,   16,   62
  279,20200214,   59,   45,   72
  279,20200215,   95,   62,  124
  279,20200216,  117,   79,  157
  279,20200217,   76,   54,  106
  279,20200218,   69,   39,   87
  279,20200219,   51,   30,   71
  279,20200220,   72,   41,  103
  279,20200221,   69,   37,   87
  279,20200222,   86,   67,  111
  279,20200223,   71,   49,  116
  279,20200224,   65,   32,  106
  279,20200225,   57,   18,   99
  279,20200226,   31,   15,   58
  279,20200227,   21,    6,   36
  279,20200228,   37,    6,   63
  279,20200229,   84,   49,  132
  279,20200301,   59,   31,   94
  279,20200302,   52,   26,   73
  279,20200303,   39,    7,   85
  279,20200304,   41,   -2,   92
  279,20200305,   48,    5,   75
  279,20200306,   49,   40,   58
  279,20200307,   67,   16,  100
  279,20200308,   81,   70,   92
  279,20200309,   73,   52,  106
  279,20200310,   98,   56,  122
  279,20200311,  104,   79,  132
  279,20200312,   78,   52,  117
  279,20200313,   57,    5,  100
  279,20200314,   60,   -9,  113
  279,20200315,   95,   69,  124
  279,20200316,   81,   35,  126
  279,20200317,   79,   22,  128
  279,20200318,  100,   59,  129
  279,20200319,   78,   60,  103
  279,20200320,   60,   24,   90
  279,20200321,   36,   -7,   83
  279,20200322,   31,  -10,   74
  279,20200323,   32,  -19,   91
  279,20200324,   37,  -29,  107
  279,20200325,   50,  -24,  114
  279,20200326,   49,  -20,  109
  279,20200327,   76,    8,  150
  279,20200328,   64,   21,  112
  279,20200329,   31,  -32,   68
  279,20200330,   30,  -44,   94
  279,20200331,   28,  -32,   90
  279,20200401,   44,  -35,   86
  279,20200402,   72,   32,  111
  279,20200403,   58,   -3,  102
  279,20200404,   75,   -5,  141
  279,20200405,  107,   18,  188
  279,20200406,  137,   41,  227
  279,20200407,  122,   65,  183
  279,20200408,  139,   55,  233
  279,20200409,  111,   38,  190
  279,20200410,   80,   13,  148
  279,20200411,  105,   14,  191
  279,20200412,  131,   23,  227
  279,20200413,   66,   42,  100
  279,20200414,   54,    5,  106
  279,20200415,   80,   -1,  160
  279,20200416,  101,    5,  187
  279,20200417,   80,   11,  152
  279,20200418,  116,   23,  205
  279,20200419,  106,   35,  169
  279,20200420,  111,   34,  172
  279,20200421,  129,   59,  185
  279,20200422,  139,   71,  207
  279,20200423,  143,   50,  224
  279,20200424,  113,   64,  184
  279,20200425,   89,   18,  161
  279,20200426,   80,  -11,  161
  279,20200427,  123,   18,  211
  279,20200428,   90,   57,  127
  279,20200429,  109,   70,  147
  279,20200430,  113,   84,  164
  279,20200501,   89,   62,  120
  279,20200502,   92,   54,  135
  279,20200503,  107,   53,  162
  279,20200504,   92,   22,  143
  279,20200505,   77,   -7,  137
  279,20200506,   86,    6,  163
  279,20200507,  102,    0,  192
  279,20200508,  139,   27,  223
  279,20200509,  165,   60,  245
  279,20200510,  124,   72,  225
  279,20200511,   76,   26,  120
  279,20200512,   69,   11,  117
  279,20200513,   68,   15,  124
  279,20200514,   63,  -14,  130
  279,20200515,   78,  -19,  140
  279,20200516,  106,   24,  170
  279,20200517,  119,   23,  196
