STN,YYYYMMDD,TG,TN,TX
260,20220920,122,72,166
260,20220921,103,45,180
260,20220922,109,33,190
260,20220923,134,66,180
260,20220924,127,71,146
260,20220925,113,47,174
260,20220926,115,99,135
260,20220927,91,73,112
260,20220928,95,42,149
260,20220929,79,25,158
260,20220930,113,27,172
260,20221001,142,110,180
260,20221002,132,62,183
260,20221003,111,44,174
260,20221004,143,86,184
260,20221005,157,130,183
260,20221006,123,65,174
260,20221007,134,70,171
260,20221008,113,43,161
260,20221009,97,33,165
260,20221010,96,33,157
260,20221011,84,18,167
260,20221012,89,25,155
260,20221013,120,63,149
260,20221014,126,81,161
260,20221015,136,91,164
260,20221016,145,125,178
260,20221017,155,125,178
260,20221018,112,42,182
260,20221019,88,17,146
260,20221020,122,74,156
260,20221021,149,118,197
260,20221022,137,97,182
260,20221023,151,102,186
260,20221024,152,126,167
260,20221025,137,99,172
260,20221026,150,103,194
260,20221027,157,128,194
260,20221028,160,103,205
260,20221029,158,93,211
260,20221030,144,103,202
260,20221031,128,67,162
260,20221101,147,117,169
260,20221102,123,102,147
260,20221103,126,108,162
260,20221104,89,52,125
260,20221105,90,34,123
260,20221106,104,81,126
260,20221107,130,109,143
260,20221108,131,107,154
260,20221109,123,100,141
260,20221110,115,93,147
260,20221111,91,30,129
260,20221112,75,24,162
260,20221113,69,17,161
260,20221114,55,11,93
260,20221115,107,63,127
260,20221116,106,92,123
260,20221117,101,80,112
260,20221118,76,37,105
260,20221119,4,-51,38
260,20221120,-9,-70,28
260,20221121,51,14,86
260,20221122,66,48,85
260,20221123,83,73,98
260,20221124,89,74,114
260,20221125,84,28,121
260,20221126,66,23,105
260,20221127,65,56,78
260,20221128,86,69,100
260,20221129,73,51,92
260,20221130,56,-1,89
260,20221201,35,-10,70
260,20221202,26,19,38
260,20221203,12,-1,25
260,20221204,11,0,30
260,20221205,49,30,56
260,20221206,50,9,75
260,20221207,39,15,69
260,20221208,24,-5,40
260,20221209,3,-19,22
260,20221210,-5,-16,11
260,20221211,13,5,20
260,20221212,-23,-62,8
260,20221213,-42,-76,-14
260,20221214,-44,-77,6
260,20221215,-27,-76,30
260,20221216,-9,-54,37
260,20221217,-18,-42,-3
